PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=307 ttl=64 time=1036 ms
64 bytes from 10.0.0.2: icmp_seq=308 ttl=64 time=1041 ms
64 bytes from 10.0.0.2: icmp_seq=309 ttl=64 time=1043 ms
64 bytes from 10.0.0.2: icmp_seq=310 ttl=64 time=1055 ms
64 bytes from 10.0.0.2: icmp_seq=311 ttl=64 time=1052 ms
64 bytes from 10.0.0.2: icmp_seq=312 ttl=64 time=1048 ms
64 bytes from 10.0.0.2: icmp_seq=313 ttl=64 time=1051 ms
64 bytes from 10.0.0.2: icmp_seq=314 ttl=64 time=1046 ms
64 bytes from 10.0.0.2: icmp_seq=315 ttl=64 time=1058 ms
64 bytes from 10.0.0.2: icmp_seq=316 ttl=64 time=1047 ms
64 bytes from 10.0.0.2: icmp_seq=317 ttl=64 time=1051 ms
64 bytes from 10.0.0.2: icmp_seq=318 ttl=64 time=1056 ms
64 bytes from 10.0.0.2: icmp_seq=319 ttl=64 time=1086 ms
64 bytes from 10.0.0.2: icmp_seq=320 ttl=64 time=1074 ms
64 bytes from 10.0.0.2: icmp_seq=321 ttl=64 time=1074 ms
64 bytes from 10.0.0.2: icmp_seq=322 ttl=64 time=1062 ms
64 bytes from 10.0.0.2: icmp_seq=323 ttl=64 time=1065 ms
64 bytes from 10.0.0.2: icmp_seq=324 ttl=64 time=1063 ms
64 bytes from 10.0.0.2: icmp_seq=325 ttl=64 time=1068 ms
64 bytes from 10.0.0.2: icmp_seq=326 ttl=64 time=1095 ms
64 bytes from 10.0.0.2: icmp_seq=327 ttl=64 time=1100 ms
64 bytes from 10.0.0.2: icmp_seq=328 ttl=64 time=1097 ms
64 bytes from 10.0.0.2: icmp_seq=329 ttl=64 time=1085 ms
64 bytes from 10.0.0.2: icmp_seq=330 ttl=64 time=1089 ms
64 bytes from 10.0.0.2: icmp_seq=331 ttl=64 time=1095 ms
64 bytes from 10.0.0.2: icmp_seq=332 ttl=64 time=1091 ms
64 bytes from 10.0.0.2: icmp_seq=333 ttl=64 time=1096 ms
64 bytes from 10.0.0.2: icmp_seq=334 ttl=64 time=1110 ms
64 bytes from 10.0.0.2: icmp_seq=335 ttl=64 time=1104 ms
64 bytes from 10.0.0.2: icmp_seq=336 ttl=64 time=1115 ms
64 bytes from 10.0.0.2: icmp_seq=337 ttl=64 time=1119 ms
64 bytes from 10.0.0.2: icmp_seq=338 ttl=64 time=1125 ms
64 bytes from 10.0.0.2: icmp_seq=339 ttl=64 time=1115 ms
64 bytes from 10.0.0.2: icmp_seq=340 ttl=64 time=1105 ms
64 bytes from 10.0.0.2: icmp_seq=341 ttl=64 time=1112 ms
64 bytes from 10.0.0.2: icmp_seq=342 ttl=64 time=1100 ms
64 bytes from 10.0.0.2: icmp_seq=343 ttl=64 time=1101 ms
64 bytes from 10.0.0.2: icmp_seq=344 ttl=64 time=1110 ms
64 bytes from 10.0.0.2: icmp_seq=345 ttl=64 time=1107 ms
64 bytes from 10.0.0.2: icmp_seq=346 ttl=64 time=1094 ms
64 bytes from 10.0.0.2: icmp_seq=347 ttl=64 time=1083 ms
64 bytes from 10.0.0.2: icmp_seq=348 ttl=64 time=1080 ms
64 bytes from 10.0.0.2: icmp_seq=349 ttl=64 time=1036 ms
64 bytes from 10.0.0.2: icmp_seq=350 ttl=64 time=951 ms
64 bytes from 10.0.0.2: icmp_seq=351 ttl=64 time=963 ms
64 bytes from 10.0.0.2: icmp_seq=352 ttl=64 time=951 ms
64 bytes from 10.0.0.2: icmp_seq=353 ttl=64 time=955 ms
64 bytes from 10.0.0.2: icmp_seq=354 ttl=64 time=961 ms
64 bytes from 10.0.0.2: icmp_seq=355 ttl=64 time=951 ms
64 bytes from 10.0.0.2: icmp_seq=356 ttl=64 time=964 ms
64 bytes from 10.0.0.2: icmp_seq=357 ttl=64 time=959 ms
64 bytes from 10.0.0.2: icmp_seq=358 ttl=64 time=972 ms
64 bytes from 10.0.0.2: icmp_seq=359 ttl=64 time=961 ms
64 bytes from 10.0.0.2: icmp_seq=360 ttl=64 time=958 ms
64 bytes from 10.0.0.2: icmp_seq=361 ttl=64 time=971 ms
64 bytes from 10.0.0.2: icmp_seq=362 ttl=64 time=971 ms
64 bytes from 10.0.0.2: icmp_seq=363 ttl=64 time=969 ms
64 bytes from 10.0.0.2: icmp_seq=364 ttl=64 time=971 ms
64 bytes from 10.0.0.2: icmp_seq=365 ttl=64 time=963 ms
64 bytes from 10.0.0.2: icmp_seq=366 ttl=64 time=976 ms
64 bytes from 10.0.0.2: icmp_seq=367 ttl=64 time=981 ms
64 bytes from 10.0.0.2: icmp_seq=368 ttl=64 time=969 ms
64 bytes from 10.0.0.2: icmp_seq=369 ttl=64 time=982 ms
64 bytes from 10.0.0.2: icmp_seq=370 ttl=64 time=976 ms
64 bytes from 10.0.0.2: icmp_seq=371 ttl=64 time=974 ms
64 bytes from 10.0.0.2: icmp_seq=372 ttl=64 time=1007 ms
64 bytes from 10.0.0.2: icmp_seq=373 ttl=64 time=1002 ms
